GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
100287102,45.22,52.08,0.6823,0.1115,76.54,2.31,38.48,23.66,1.655,0.7213,5.616,7.924,1.089,3.493,38.5,155.2,27.67,87.89,2.431,0.7624,5.294,3.521
653635,213.8,145.8,67.01,13.68,68.73,79.3,28.81,67.02,44.88,60.28,85.88,75,43.53,50.74,135.8,260.1,116.3,0.0339,168.9,29.94,101.7,88.12
102466751,2.801,8.027,0.3188,0,0,7.857,14,40.25,2.297,1.078,0,89.86,6.848,4.715,10.38,20.67,0,0,0,5.459,7.516,0
107985730,2.691,0.4348,0,0.1369,2.176,0,0,0,0,0.1022,0.06897,0,0,0,0.2429,0,0,0,0,0,0.03518,0
100302278,20.98,200.3,14.45,58.71,284.2,0,74.25,146.1,0.1415,5.712,8.873,304.1,0.4601,0,134.3,10.18,398.2,0,155.2,0.7686,4.115,0.8106
645520,31.62,113.5,2.091,85.12,59.2,0.3377,19.9,23.25,2.937,0.08112,1.642,38.47,1.274,0.4172,112.4,143.5,23.44,67.11,47.65,0.2699,0.8376,0
79501,0.332,122.1,0.4722,0,34.62,1.164,23.51,17.97,0.638,3.954,1.132,181.4,0,0,96.67,108,4.473,0,13.77,1.834,0.8454,0
100996442,0.9418,2.262,0.4518,7.344,3.11,0.2651,10.71,0.02432,0.1237,0.1611,0.6142,0.5421,0.09947,0.131,0.1548,3.542,5.622,0.239,0.9422,0.1084,0.1934,0.16
729737,16.97,12.13,69.04,0.962,20.56,51.24,21.68,12.66,17.39,31.38,49.91,2.014,30.02,11.95,19.3,33.7,22.97,0.06026,1.332,16.95,31.92,36.04
102725121,53.24,94.76,1.659,0.7333,65.26,1.251,24.07,2.696,10.3,0.6617,6.258,7.402,1.146,2.758,34.83,229.6,46.59,31.1,2.962,0.9571,5.159,3.585
102723897,307.6,144.6,92.7,13.53,110.8,87.33,62.15,69.45,62.9,75.61,99.67,113.9,50.88,49.93,124.6,201.8,60.39,0.03405,51.95,27.34,112.9,81.09
102465909,2.801,13.76,0.6375,0,0,1.871,14,60.21,1.436,4.583,0.5457,611.8,12.14,6.934,17.29,34.44,0,0,0,8.774,12.25,0
107985721,1.647,0.2881,0,0.02722,1.236,0,0.5362,0.02639,0,0.07452,0.04114,0.01607,0,0,0.1545,0.03462,0,0,0.4398,0,0.03498,0
112268260,0.03467,0,0.02301,0.005585,0.08879,0,0.02063,0,0,0.002781,0,0,0.009631,0.005721,0.1942,0.1137,0.02076,0.004548,0.1805,0.01408,0.002871,0
729759,12.37,37.33,4.155,4.353,126.3,4.091,148.3,17.36,1.518,4.998,3.438,3.15,5.365,3.675,89.25,38.71,14.14,0,153.7,9.248,6.592,13.16
100132287,10.43,27.5,55.93,4.306,30.68,37.53,46.72,36.16,17.1,50.9,63.81,5.26,27.35,20.68,58.04,71.03,92.17,27.27,14.53,13.69,39.5,50.97
105378947,0.01626,0.04992,0,0,0.03569,0,0,0,0,0,0,0,0,0,0.01115,0,0,0,0,0,0,0
101928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113219467,4.829,3.295,2.748,0.5187,2.356,0.7166,14.05,1.676,0.825,2.84,0.5226,3.063,5.962,1.328,4.048,1.32,0,0,0,3.548,0.5332,0
81399,6.69,12.38,1.084,8.525,37.56,0.9419,46.35,9.595,0.9931,1.24,1.509,0.6434,1.227,0.8549,20.34,14.77,2.605,10.2,38.32,2.053,2.188,2.584
100133331,10.91,39.44,68.95,3.999,40.1,46.73,45.47,23.13,23.41,65.05,60.9,11.71,30.48,32.84,66.66,54.13,62.24,85.94,15.04,18.03,54.12,54.32
107984841,22.71,71.95,21.7,0,23.66,28.93,174.3,7.788,4.111,24.87,10.98,0.02348,22.33,11.02,44.61,4.654,26.61,89.6,12.05,7.904,22.2,33.58
107984847,138.9,101.8,103.7,1.063,38.8,122.6,101.8,50.7,35.71,118.2,19.59,0.7174,89.68,43.12,23.33,141.2,269,6.183,44.17,37.4,125.3,232.1
107984849,0.1361,0,24.77,0,211.2,17.08,2.267,0.08501,6.903,22.13,0.7952,0.466,16.86,6.937,2.053,48.85,65.75,0,0.5313,7.718,34.07,13.18
100288069,10.06,0.05687,0.9486,0.08058,1.708,1.336,6.714,0.7465,0.826,0.9761,0.5954,0.04758,1.389,0.6603,7.681,0,0,0,2.387,0.2418,1.45,1.632
105378580,0,0,0.2405,0,0,0.4704,0.2206,0.2733,0.1672,0.4924,0.3106,0,0.5808,0.3744,0.01526,0.2553,0.09324,0,0,0.2245,0.5673,0.2177
